N,Algorithm,Seeds,Mean Return,Return Std,LP Fraction,LP Fraction Std,Sample Efficiency,Sample Efficiency Std,Violation Rate,Violation Rate Std,LP Baseline
1,SAC,5,209.21,53.71,0.7611,0.2178,40000,40497,0.4474,0.1546,492.09
1,PPO,5,151.99,60.31,0.5223,0.1675,29491,22938,0.6414,0.0975,492.09
2,SAC,5,415.48,53.44,0.7143,0.2043,54000,57480,0.6394,0.0763,734.27
2,PPO,5,305.44,140.23,0.5443,0.3106,26214,6130,0.7792,0.0560,734.27
5,SAC,5,1048.32,87.38,0.6631,0.0700,96000,37202,0.8248,0.0196,1895.05
5,PPO,5,670.66,230.06,0.4178,0.1160,27853,11112,0.8714,0.0352,1895.05
10,SAC,5,1705.28,55.29,0.5375,0.0551,232000,81093,0.9835,0.0043,3529.91
10,PPO,5,1353.95,324.43,0.4295,0.1178,70451,22938,0.9336,0.0058,3529.91
20,SAC,5,2619.62,238.36,0.4024,0.0374,414000,50833,0.9953,0.0020,6851.81
20,PPO,5,2148.11,1263.45,0.3315,0.1964,45875,40664,0.9662,0.0152,6851.81
