#{"t_start": 1780853708.4299579, "env_id": "None"}
r,l,t
-52.018255,288,3.138234
-16.331042,288,3.374313
62.90571,288,3.61361
-133.920501,288,3.858805
15.136421,288,4.084004
-14.417877,288,4.336658
-95.810801,288,4.561249
-13.946032,288,6.475126
-1.396897,288,6.689711
62.44523,288,6.93088
50.166066,288,7.274509
-37.018286,288,7.600111
-0.063845,288,7.839576
16.452644,288,8.061217
18.915185,288,11.910513
12.404034,288,12.134973
30.799099,288,12.481266
2.801753,288,12.712699
-5.774332,288,12.952868
70.302394,288,13.189449
8.632103,288,13.412027
-34.922231,288,15.334852
111.999774,288,15.556194
-2.39416,288,15.771675
22.544455,288,15.987598
-4.600996,288,16.23914
41.46162,288,16.500426
89.511958,288,16.777741
25.931393,288,20.782021
15.52389,288,21.067162
18.944779,288,21.349515
27.963325,288,21.607747
-0.924234,288,21.878188
114.440622,288,22.113802
63.542037,288,22.324037
10.132162,288,24.411659
56.675115,288,24.654613
12.891171,288,24.909943
88.569607,288,25.31222
32.86849,288,25.663743
44.093641,288,25.954938
-10.158968,288,26.263495
13.937776,288,31.38459
-16.674617,288,31.779624
-4.741414,288,32.181529
249.432616,288,32.581881
65.857033,288,32.938704
113.391494,288,33.317459
-14.623833,288,33.72545
85.687558,288,36.711254
168.417311,288,36.97515
26.535936,288,37.340561
15.656556,288,37.713924
-12.426711,288,38.116023
79.721554,288,38.586626
19.825086,288,38.98025
35.222469,288,44.497178
15.26592,288,44.791338
-20.009668,288,45.081937
69.562393,288,45.293817
96.028061,288,45.522172
2.777576,288,45.838767
24.428581,288,46.149976
94.434892,288,46.468341
66.128992,288,48.790512
168.121287,288,49.083167
57.545117,288,49.401139
169.094623,288,49.671521
95.716045,288,49.911866
14.812186,288,50.130239
102.249131,288,50.41556
179.326966,288,55.070457
88.472765,288,55.310775
110.411981,288,55.554291
154.663461,288,55.788003
65.84299,288,55.997307
103.108184,288,56.261342
178.94901,288,56.577593
102.683086,288,58.943554
201.461388,288,59.261214
231.865176,288,59.573838
310.889631,288,59.889977
191.06352,288,60.185822
138.766397,288,60.449222
189.034076,288,60.734904
328.074902,288,65.108411
95.060908,288,65.364135
125.681423,288,65.649849
103.321948,288,65.955516
167.798393,288,66.327974
246.526996,288,66.647229
134.139738,288,67.003284
129.36676,288,69.408651
58.242751,288,69.689387
2.615811,288,69.985374
213.665019,288,70.322865
296.827207,288,70.621946
256.405878,288,70.89936
234.858773,288,71.161321
229.957944,288,75.969231
264.429375,288,76.295478
242.83717,288,76.598267
139.16315,288,76.915863
19.212005,288,77.215708
410.253219,288,77.497855
340.598301,288,77.763314
122.095196,288,80.162009
10.393201,288,80.430089
80.232868,288,80.723086
131.999149,288,80.993937
180.96064,288,81.303724
151.455309,288,81.635566
455.081611,288,81.963829
-20.414982,288,86.711809
417.578842,288,86.981733
317.567535,288,87.293978
182.736423,288,87.588803
-8.756928,288,87.836137
0.639029,288,88.132222
67.9777,288,88.474936
176.696096,288,90.926338
87.619239,288,91.24569
186.996239,288,91.567637
282.236948,288,91.888329
150.083653,288,92.163218
174.017272,288,92.506366
237.05864,288,92.837851
-26.270751,288,93.14712
208.943276,288,97.588374
301.454946,288,97.836584
114.990595,288,98.085485
31.691028,288,98.350899
421.822194,288,98.600448
92.249418,288,98.852829
187.851193,288,99.145054
337.536111,288,101.520144
279.597334,288,101.821368
100.327884,288,102.091213
616.317732,288,102.351859
332.906164,288,102.629028
271.26206,288,102.947026
403.778858,288,103.229178
205.521286,288,107.077856
230.482897,288,107.299214
-11.774822,288,107.532004
289.74912,288,107.789473
208.500419,288,108.031222
115.204997,288,108.26097
42.679737,288,108.481006
346.847004,288,110.503254
197.023357,288,110.742953
279.32141,288,111.023073
203.213583,288,111.297361
222.23404,288,111.519662
-28.681614,288,111.804446
197.720697,288,112.080065
306.978698,288,116.308333
288.525681,288,116.633999
169.036277,288,116.955809
55.246652,288,117.258523
336.926021,288,117.574272
84.81992,288,117.869681
320.887689,288,118.193025
146.697409,288,120.707373
293.480252,288,120.982938
421.418324,288,121.295177
5.803744,288,121.60917
244.903099,288,121.867823
344.453163,288,122.205024
214.740012,288,122.530993
66.257517,288,129.269991
92.419416,288,129.655728
154.778347,288,130.011227
113.494926,288,130.407615
551.557213,288,130.792975
212.046018,288,131.232047
321.18486,288,131.584612
425.703009,288,134.261421
210.689354,288,134.631075
256.921319,288,134.953795
140.893368,288,135.325927
49.574973,288,135.669928
273.444397,288,135.992754
189.872713,288,136.373626
336.099569,288,143.619216
159.634151,288,144.149159
216.832702,288,145.192357
245.192003,288,146.331574
123.194308,288,147.132608
-3.910434,288,147.717724
122.132843,288,148.543554
-8.033117,288,149.191288
238.15809,288,156.814569
201.160629,288,157.738554
434.03259,288,158.692973
269.907686,288,160.037434
237.166216,288,160.816954
182.527283,288,161.93071
254.398289,288,162.840916
