#{"t_start": 1781022084.0596554, "env_id": "None"}
r,l,t
-107.527881,288,4.600487
-1.482026,288,5.0035
-28.445881,288,5.285574
-37.628989,288,9.407343
24.472651,288,17.586497
41.546601,288,33.184672
14.822678,288,48.879366
122.020987,288,65.094033
17.827416,288,78.203411
57.465865,288,85.489704
137.486789,288,98.256222
82.85652,288,114.383966
40.984663,288,130.749222
119.731134,288,146.390893
30.881421,288,162.037367
173.430844,288,177.404541
-9.679022,288,191.829876
36.262613,288,203.267193
60.745356,288,209.91821
146.514512,288,215.823366
195.285259,288,221.65717
351.613652,288,227.961316
419.014438,288,234.15531
134.601272,288,240.061793
24.475453,288,246.051785
-0.689174,288,252.219292
30.539698,288,258.243481
44.317037,288,264.140558
175.647413,288,270.17791
138.091613,288,276.561185
70.995091,288,282.473311
218.222319,288,288.594927
181.04592,288,294.5507
191.107098,288,300.443448
155.712839,288,308.453454
131.557379,288,314.419606
249.605701,288,320.436911
124.405923,288,326.418998
75.964784,288,332.426003
88.910547,288,338.553271
-13.508365,288,344.396221
5.127669,288,350.328439
110.496223,288,356.280908
155.206637,288,362.303883
63.684225,288,368.363904
321.110212,288,374.406152
356.471252,288,380.353412
479.748299,288,386.30391
294.964388,288,392.316108
204.155427,288,398.2354
106.281909,288,404.099668
329.749951,288,410.167187
120.123094,288,418.286379
156.4685,288,424.301473
87.057539,288,430.225738
87.576439,288,436.504597
81.272829,288,442.472315
36.131497,288,448.351483
146.207714,288,454.388775
186.902378,288,460.372411
89.017014,288,466.31161
109.471728,288,472.21944
148.280717,288,478.366937
95.334941,288,484.745603
211.506351,288,490.775532
221.758201,288,497.005332
96.716118,288,503.013389
296.375236,288,508.987387
95.237905,288,515.055537
86.421125,288,523.360014
496.199312,288,529.297387
154.101587,288,535.519775
29.658299,288,541.419693
196.888346,288,547.317538
230.503041,288,553.513113
182.428847,288,560.383605
120.031795,288,567.03462
346.774465,288,573.538891
25.068063,288,580.033077
185.10121,288,586.618048
332.678555,288,593.075517
171.159324,288,599.605051
174.05962,288,606.124594
159.432719,288,612.748721
213.366039,288,619.208143
302.418357,288,625.7154
222.249399,288,635.472876
109.094552,288,642.172436
108.583196,288,649.265579
307.316759,288,656.288688
212.657979,288,662.822992
214.053323,288,669.269495
260.863434,288,675.67153
11.307625,288,681.897717
18.306931,288,688.408387
199.540014,288,694.679868
175.448987,288,701.463142
150.756276,288,707.748516
121.113574,288,714.592222
305.279554,288,721.86582
174.509461,288,728.552207
142.913912,288,734.815471
130.272251,288,741.355909
27.957721,288,747.605968
287.252414,288,755.998427
335.542805,288,762.460598
305.629225,288,768.643189
27.605565,288,774.775532
78.218223,288,780.896848
209.990565,288,787.12452
109.512232,288,793.222704
154.959226,288,799.4905
414.6013,288,805.671317
1.395946,288,811.820797
335.64879,288,817.91086
276.419607,288,824.020345
182.139411,288,830.147956
-15.231616,288,836.722884
0.260703,288,842.848715
1.598217,288,849.029814
250.295301,288,855.315195
89.830176,288,863.719093
208.620623,288,869.957604
227.961552,288,876.124611
84.653688,288,882.387424
107.482518,288,888.541443
206.548842,288,894.960419
-2.785194,288,901.252687
289.606713,288,907.446321
308.058256,288,913.75715
48.130041,288,920.04098
15.798262,288,926.525546
384.465637,288,932.932017
68.840827,288,939.269122
210.39719,288,945.581944
187.476828,288,951.827155
218.531042,288,958.187858
