#{"t_start": 1781278303.5499153, "env_id": "None"}
r,l,t
92.219749,288,0.32462
8.488423,288,0.620474
144.088115,288,0.92126
82.754298,288,8.713871
42.627647,288,22.897262
26.357607,288,36.388955
24.712911,288,50.424413
170.511769,288,64.143191
52.436065,288,77.942208
59.119557,288,92.033766
12.726319,288,106.023106
147.085191,288,119.997335
39.82633,288,134.313244
74.408869,288,148.533056
46.63436,288,162.841727
182.870522,288,177.199131
-2.162181,288,191.545161
624.723636,288,205.906847
307.236492,288,220.317118
227.670479,288,235.669717
121.363414,288,250.285245
284.751468,288,264.980503
374.838841,288,279.440162
360.709989,288,293.493087
121.679046,288,307.707047
501.793863,288,321.818934
129.324234,288,336.616407
366.883583,288,350.939916
313.525471,288,364.845743
163.042722,288,378.897758
241.897829,288,392.991907
313.355781,288,407.288708
176.202906,288,421.682671
218.449508,288,436.042015
159.829269,288,455.393164
196.26801,288,469.992198
372.685382,288,484.579748
148.819877,288,499.254254
174.13991,288,513.897763
344.044072,288,528.451493
155.022991,288,542.860219
-17.585376,288,556.992565
337.441233,288,571.210787
204.980165,288,585.24807
215.858639,288,599.652284
873.717167,288,613.680178
397.067441,288,627.516446
833.097086,288,641.588461
454.347465,288,655.701338
500.155464,288,669.80909
318.75077,288,684.070364
616.175934,288,698.259663
196.090603,288,712.525538
132.882255,288,727.056546
147.520383,288,741.175421
231.542282,288,755.404013
67.656809,288,769.806827
65.100476,288,783.809623
426.265869,288,797.6371
485.839652,288,811.891653
195.502863,288,825.915681
422.574164,288,840.701718
66.768365,288,854.942326
285.032264,288,869.375717
459.579527,288,883.697912
522.960578,288,898.209204
422.944615,288,912.65538
244.626675,288,927.217008
327.333871,288,941.558526
241.517881,288,961.077853
604.781522,288,975.36004
417.633638,288,989.850848
201.15412,288,1004.443975
265.875378,288,1018.731221
816.887701,288,1033.270988
246.727184,288,1047.644345
323.780323,288,1061.428004
581.509721,288,1075.569954
236.820843,288,1089.856306
460.96254,288,1103.964864
594.847003,288,1118.542726
549.330974,288,1133.025939
237.452047,288,1146.975955
433.299514,288,1161.181767
267.351045,288,1175.568344
657.009792,288,1189.896407
347.208533,288,1206.784484
195.969486,288,1221.549285
208.644906,288,1236.413089
390.751474,288,1250.701293
858.38112,288,1265.201564
342.779227,288,1279.915989
445.716663,288,1294.094019
86.212429,288,1308.405881
-49.304927,288,1322.605722
211.588968,288,1336.726839
796.300752,288,1350.878467
565.588267,288,1365.221729
571.818372,288,1379.446183
417.766156,288,1393.767617
533.486216,288,1408.022623
371.80147,288,1422.217943
239.165678,288,1437.256581
